,sentence_para,sentence_counter,word_para,word_counter,syllable_para,syllable_counter
0,3,5,49,110,84,179
1,3,4,55,104,99,185
2,3,5,48,95,84,164
3,4,6,72,107,141,195
4,3,5,65,97,105,156
5,3,4,52,87,84,147
6,3,4,48,91,79,152
7,4,5,73,96,133,151
8,4,6,86,118,118,181
9,3,5,62,105,123,191
10,3,4,67,94,102,159
11,3,5,56,104,94,170
12,1,5,33,122,58,216
13,4,5,77,113,142,192
14,4,4,86,78,138,130
15,4,5,67,102,114,177
16,3,4,74,78,131,146
17,3,5,69,99,122,162
18,5,5,89,78,157,138
19,2,5,34,98,57,181
20,4,5,75,106,133,182
21,3,5,59,104,98,187
22,4,5,76,91,124,150
23,4,4,74,99,142,171
24,4,5,81,107,152,192
25,1,6,31,105,55,187
26,3,5,58,105,103,190
27,3,4,59,88,118,172
28,2,4,53,97,103,188
29,4,5,70,104,128,166
30,4,5,80,97,141,173
31,3,4,52,90,84,151
32,3,5,74,105,118,167
33,4,5,67,91,105,148
34,4,5,85,93,139,177
35,3,5,52,104,107,205
36,3,4,85,88,158,146
37,4,4,72,90,128,146
38,2,5,37,103,67,192
39,4,5,80,85,145,143
40,4,5,67,107,112,193
41,3,3,63,58,119,99
42,4,5,61,110,108,166
43,3,7,62,131,115,212
44,3,5,76,88,165,165
45,5,5,83,99,150,175
46,5,5,68,111,118,190
47,3,4,70,87,120,148
48,3,6,70,124,132,205
49,3,5,63,102,109,171
50,2,5,42,88,74,174
51,3,4,68,74,130,144
52,4,4,72,105,133,198
53,4,5,65,103,107,192
54,4,4,78,89,135,144
55,3,6,58,102,112,174
56,3,5,63,108,99,189
57,2,4,41,66,61,109
58,3,4,61,90,114,147
59,3,4,59,85,87,131
60,4,5,81,111,137,174
61,3,5,68,108,128,178
62,3,5,61,116,100,203
63,3,6,68,127,112,207
64,4,4,76,105,141,207
65,2,5,50,87,75,142
66,2,6,42,113,66,204
67,3,6,67,114,121,181
68,3,4,60,94,120,185
69,2,5,43,94,67,181
70,2,6,37,118,54,198
71,4,5,66,87,137,145
72,3,4,75,81,127,126
73,4,5,98,102,178,194
74,3,5,60,119,98,195
75,3,6,68,115,119,197
76,3,4,63,93,112,178
77,3,6,65,113,111,192
78,4,5,62,92,99,141
79,4,5,84,111,146,193
80,2,4,40,91,77,150
81,4,5,82,104,146,175
82,3,5,52,88,84,170
83,3,6,72,115,133,225
84,3,5,62,119,108,196
85,4,5,84,101,127,191
86,2,5,44,100,68,159
87,4,4,75,90,143,149
88,4,5,79,104,143,189
89,3,5,52,96,111,192
90,4,3,82,57,154,114
91,3,4,52,87,93,142
92,4,5,77,112,128,204
93,3,5,64,104,106,190
94,4,4,71,90,113,151
95,3,5,62,91,93,161
96,3,5,60,116,99,189
97,4,5,70,110,123,194
98,3,5,71,90,120,158
99,3,5,61,100,101,170
100,5,5,85,88,152,161
101,3,4,65,94,113,160
102,3,5,65,98,111,177
103,3,4,41,90,67,160
104,4,5,75,84,133,135
105,4,6,81,120,153,202
106,3,6,70,107,101,173
107,4,6,73,107,112,179
108,5,5,82,131,129,231
109,3,6,52,117,84,204
110,3,4,53,88,81,176
111,3,5,63,93,97,166
112,4,5,82,105,148,170
113,3,4,54,89,101,181
114,4,5,72,114,128,199
115,4,3,77,95,132,171
116,3,5,73,85,135,157
117,5,4,92,99,180,171
118,4,4,86,91,147,174
119,4,6,62,122,100,197
120,3,5,52,84,93,139
121,3,5,54,93,91,144
122,3,6,81,124,137,201
123,4,5,85,102,160,180
124,4,4,82,111,148,216
125,4,5,82,86,133,155
126,3,5,50,93,103,189
127,4,4,78,84,123,143
128,4,6,72,104,109,169
129,2,4,48,74,84,134
130,5,4,73,86,122,151
131,5,6,81,120,158,206
132,3,5,66,77,118,152
133,3,6,59,90,102,162
134,5,5,83,102,141,172
135,3,4,56,75,84,142
136,3,5,73,111,106,179
137,2,5,42,92,72,164
138,3,5,68,107,102,216
139,4,5,84,105,151,197
140,3,4,65,84,111,136
141,4,4,82,80,149,125
142,4,4,90,96,138,148
143,3,4,43,81,76,124
144,4,5,75,129,123,209
145,3,3,73,64,127,105
146,3,4,70,76,121,120
147,3,4,55,80,103,146
148,4,5,64,99,119,142
149,4,3,69,79,125,140
150,3,4,69,68,123,113
151,3,4,64,92,110,164
152,3,4,45,93,75,143
153,4,4,67,88,119,134
154,3,4,67,82,111,122
155,3,2,65,46,113,81
156,4,5,60,94,98,147
157,3,4,70,95,114,154
158,2,4,51,84,96,161
159,1,4,21,88,38,156
160,3,4,58,70,91,119
161,3,3,67,61,118,91
162,4,4,78,81,134,155
163,4,5,58,101,97,172
164,3,4,65,82,103,130
165,3,3,45,65,76,107
166,3,3,76,75,128,129
167,3,4,56,79,98,139
168,2,3,42,66,69,117
169,3,3,52,71,86,119
170,3,4,57,96,95,156
171,4,3,53,80,92,120
172,3,3,58,71,90,114
173,3,4,60,68,99,129
174,2,4,54,85,110,158
175,3,3,82,67,129,105
176,5,3,81,53,138,89
177,3,4,65,102,113,172
178,3,3,47,64,80,106
179,5,4,74,106,122,167
180,4,4,69,70,122,116
181,2,4,35,80,57,133
182,3,5,68,117,107,196
183,3,4,47,83,80,151
184,3,4,57,84,98,119
185,4,5,80,117,140,200
186,2,4,34,84,55,146
187,5,3,93,61,165,103
188,2,5,50,112,88,182
189,4,4,69,78,111,143
190,4,3,67,81,110,146
191,3,3,58,68,101,106
192,3,4,60,98,103,160
193,4,4,77,65,124,97
194,3,3,57,63,92,102
195,4,3,79,64,130,114
196,2,5,38,95,83,163
197,3,4,69,80,120,143
198,4,4,68,83,113,139
199,3,4,66,93,119,174
200,3,3,57,71,104,118
201,3,4,76,84,113,124
202,1,5,23,101,37,171
203,3,4,60,70,103,119
204,3,3,60,60,104,98
205,3,4,57,84,97,138
206,2,4,54,87,87,152
207,2,4,39,87,58,138
208,4,4,83,78,140,153
209,3,5,60,106,95,170
210,3,3,62,78,97,143
211,3,4,58,93,105,138
212,4,7,74,131,115,202
213,3,4,70,83,120,153
214,3,4,46,88,73,137
215,2,3,35,65,48,104
216,3,4,72,79,107,128
217,3,3,41,75,74,123
218,3,4,46,72,74,120
219,3,4,53,88,86,126
220,3,4,58,77,95,124
221,3,3,72,59,105,107
222,3,4,43,80,74,122
223,3,4,61,87,117,129
224,4,4,76,89,132,154
225,2,7,42,134,59,234
226,3,3,68,62,119,108
227,4,6,69,110,115,197
228,3,4,50,72,93,109
229,4,4,69,87,119,129
230,3,4,60,94,92,155
231,4,3,61,70,108,117
232,4,3,68,78,125,147
233,3,3,51,71,85,122
234,3,3,69,67,101,104
235,4,4,60,83,99,140
236,4,3,78,64,132,111
237,3,4,84,102,153,151
238,3,4,44,85,78,131
239,2,3,37,92,61,146
240,4,5,68,98,111,160
241,3,4,73,104,131,168
242,5,4,84,103,142,159
243,3,4,53,77,91,119
244,1,3,21,66,28,101
245,3,3,62,65,107,108
246,3,4,66,95,111,148
247,1,4,19,101,34,163
248,1,3,25,70,47,115
249,1,3,22,75,31,114
250,4,5,90,103,141,163
251,3,3,65,69,104,113
252,3,3,62,82,102,118
253,2,4,40,86,74,135
254,3,3,80,70,130,110
255,3,4,64,86,111,151
256,3,3,51,87,98,143
257,3,4,56,103,92,164
258,2,5,31,90,51,160
259,3,6,63,121,112,230
260,4,5,81,96,143,154
261,3,5,76,95,126,159
262,3,4,54,74,100,137
263,3,3,66,63,122,107
264,3,3,70,70,119,130
265,3,2,64,51,112,90
266,3,3,59,77,104,122
267,3,5,63,104,105,170
268,3,3,69,67,104,115
269,3,5,71,130,96,201
270,3,4,56,74,88,122
271,3,4,47,80,78,121
272,4,5,74,99,125,154
273,3,3,64,71,102,114
274,1,4,26,88,36,138
275,4,4,61,96,104,172
276,4,4,78,67,137,124
277,3,4,66,71,117,111
278,3,4,51,86,91,146
279,3,4,69,72,114,123
280,1,4,26,104,45,166
281,3,5,71,99,111,145
282,3,4,63,75,98,138
283,2,5,41,93,60,171
284,2,5,41,100,57,169
285,3,3,67,65,108,112
286,3,3,45,84,76,154
287,4,4,76,84,122,130
288,4,4,66,71,104,120
289,1,4,24,89,37,137
290,4,4,74,73,115,129
291,3,4,52,83,83,151
292,3,5,59,130,96,224
293,3,5,57,100,102,178
294,4,4,71,86,113,134
295,3,5,48,122,82,202
296,4,4,93,107,151,186
297,3,4,61,93,100,148
298,3,4,60,93,98,139
299,2,5,30,116,50,193
300,3,3,59,57,100,96
301,3,4,53,86,96,161
302,4,4,69,75,120,126
303,3,4,67,69,120,127
304,4,3,63,71,93,127
305,3,4,68,70,103,117
306,4,4,69,106,107,182
307,3,3,58,60,91,94
308,4,3,70,53,110,84
309,2,3,58,66,99,102
310,4,4,81,83,120,143
311,3,3,63,69,101,119
312,3,3,67,84,114,149
313,4,3,93,58,149,100
314,3,3,63,60,125,105
315,3,5,62,87,95,150
316,3,4,70,73,116,114
317,1,4,23,82,34,129
318,3,4,58,97,116,153
319,3,4,62,84,97,129
320,3,4,53,77,80,126
321,3,4,55,73,90,121
322,2,5,42,92,55,168
323,3,4,72,78,121,117
324,3,3,64,79,110,121
325,4,3,72,78,121,124
326,4,3,63,77,105,118
327,3,4,51,79,88,132
328,3,4,62,91,108,161
329,3,4,59,81,100,129
330,4,3,68,84,117,142
331,4,4,76,69,120,121
332,3,3,57,65,98,102
333,3,2,62,63,98,110
334,1,4,15,91,27,162
335,3,4,78,97,128,149
336,4,5,57,128,83,193
337,1,4,22,95,35,154
338,3,4,64,90,104,133
339,4,4,76,74,124,125
340,3,4,55,74,89,112
341,3,5,61,111,103,186
342,4,4,85,79,146,132
343,3,4,53,81,89,119
344,3,4,59,89,87,148
345,1,4,22,93,40,159
346,4,4,68,94,106,147
347,3,4,71,71,110,121
348,3,3,49,80,80,122
349,3,4,55,78,83,113
350,4,3,67,66,110,113
351,3,3,45,60,86,99
352,3,3,56,70,97,119
353,4,7,76,124,123,188
354,4,4,86,92,134,153
355,3,5,66,102,114,190
356,2,6,43,110,73,183
357,3,3,56,73,87,119
358,3,3,72,94,121,148
359,4,6,85,117,124,202
360,3,5,76,108,129,190
361,3,6,68,126,116,208
362,4,5,73,104,132,165
363,3,5,73,118,106,177
364,2,5,48,122,81,223
365,3,5,72,97,121,163
366,4,7,75,131,146,202
367,3,5,76,102,129,181
368,4,7,80,136,136,206
369,2,7,41,121,67,204
370,3,3,60,91,109,155
371,4,5,80,86,123,131
372,3,6,51,104,102,171
373,3,6,70,117,127,193
374,3,7,72,117,122,198
375,3,6,96,107,155,173
376,4,6,88,122,148,215
377,3,4,48,81,79,141
378,3,4,72,117,125,193
379,4,6,84,150,133,249
380,3,4,77,82,128,124
381,4,4,72,90,131,174
382,2,8,39,142,72,232
383,4,5,91,106,144,169
384,3,6,73,142,127,262
385,4,5,77,112,124,193
386,4,6,92,123,153,190
387,4,2,72,52,130,79
388,3,5,57,74,117,133
389,3,5,72,103,112,163
390,3,5,80,98,120,166
391,4,5,65,86,109,138
392,4,5,83,115,139,205
393,4,5,81,105,130,170
394,3,4,68,72,122,118
395,3,5,52,112,93,204
396,4,5,76,121,131,183
397,4,6,73,111,121,189
398,3,5,80,109,134,183
399,3,5,64,114,124,191
400,4,5,75,113,121,187
401,4,4,75,94,156,154
402,3,4,71,98,118,141
403,3,5,68,116,113,190
404,4,5,88,100,151,155
405,4,4,77,84,135,143
406,4,5,85,121,147,191
407,3,5,64,109,115,172
408,3,6,53,103,95,151
409,3,5,66,111,108,198
410,3,5,78,132,137,207
411,4,6,72,125,122,217
412,4,6,76,123,122,187
413,3,5,66,104,115,185
414,3,4,80,106,134,184
415,4,4,104,93,180,165
416,3,5,75,136,114,209
417,3,4,65,84,119,150
418,4,5,88,92,142,156
419,4,6,89,106,167,168
420,4,6,87,113,165,205
421,2,5,51,97,82,153
422,4,5,73,112,124,176
423,4,5,82,119,133,212
424,5,5,93,94,154,171
425,4,5,71,119,127,195
426,2,4,63,70,89,110
427,4,5,81,105,153,202
428,3,7,67,107,118,170
429,3,5,76,84,118,151
430,2,5,48,98,89,158
431,4,6,92,125,152,203
432,4,5,77,125,121,210
433,3,5,50,103,81,172
434,4,5,94,74,143,126
435,4,5,83,110,138,183
436,3,5,74,105,138,175
437,4,4,76,98,126,162
438,4,6,80,117,120,161
439,4,7,83,118,139,180
440,4,6,99,119,155,193
441,2,3,73,50,113,89
442,4,3,76,63,111,119
443,3,5,81,121,138,216
444,5,2,97,40,159,59
445,3,4,59,95,98,177
446,3,5,64,97,100,150
447,2,5,47,96,78,155
448,3,6,63,119,99,189
449,3,6,79,128,122,210
450,4,6,89,123,156,192
451,3,5,77,134,126,222
452,3,6,69,92,128,159
453,3,5,84,82,139,144
454,3,4,89,85,157,158
455,3,4,80,93,125,186
456,4,6,86,104,146,179
457,3,6,86,123,142,184
458,3,4,82,91,144,161
459,3,5,58,102,105,185
460,4,4,81,87,153,148
461,3,6,70,112,114,201
462,3,5,58,102,100,174
463,3,5,65,88,113,163
464,3,6,54,116,102,185
465,3,7,86,143,142,223
466,5,4,94,97,145,134
467,3,6,51,111,96,184
468,4,5,94,145,161,237
469,2,4,43,87,80,145
470,4,4,73,96,129,161
471,3,5,75,124,113,233
472,3,4,73,83,136,146
473,4,7,90,128,151,210
474,3,1,59,19,108,26
475,3,5,75,101,115,161
476,3,6,77,124,136,195
477,3,6,73,104,114,151
478,4,6,83,150,136,265
479,4,5,85,96,145,150
480,4,6,81,128,129,223
481,3,5,61,87,112,144
482,3,5,60,96,99,145
483,3,4,55,115,91,194
484,3,4,69,93,106,163
485,4,6,57,93,89,155
486,5,4,95,92,140,146
487,5,5,90,102,157,187
488,3,4,75,107,104,183
489,3,5,55,106,95,159
490,3,5,79,110,124,166
491,2,5,68,92,112,170
492,4,4,81,105,145,173
493,3,7,76,128,116,213
494,3,6,64,117,104,201
495,3,4,74,79,135,126
496,3,5,57,119,102,217
497,5,4,88,81,154,133
498,3,5,75,141,131,246
499,4,6,80,140,135,208
500,3,5,61,110,104,171
501,3,7,64,117,107,177
502,4,6,80,123,119,199
503,2,4,51,86,89,142
504,4,5,71,99,105,158
505,3,4,85,93,137,159
506,4,6,98,111,150,200
507,4,5,90,96,160,177
508,3,6,61,99,106,153
509,2,4,41,105,79,179
510,3,5,55,108,92,204
511,3,5,68,122,123,196
512,3,4,76,88,118,148
513,4,4,84,79,141,140
514,3,5,52,116,93,177
515,3,5,67,101,107,179
516,3,5,82,112,127,198
517,3,4,72,84,135,149
518,4,6,75,115,124,200
519,4,5,76,116,117,172
520,4,4,60,98,100,165
521,3,4,97,78,162,147
522,3,5,63,104,98,159
523,3,5,60,90,114,165
524,2,5,57,126,105,193
525,3,5,53,106,95,197
526,4,4,76,93,132,146
527,3,5,75,93,142,168
528,3,3,69,66,111,115
529,3,8,81,125,140,221
530,4,4,80,81,130,153
531,4,4,91,85,141,157
532,3,5,68,101,126,183
533,3,5,70,113,109,202
534,4,4,91,94,145,150
535,3,5,71,111,121,193
536,2,4,46,92,82,147
537,3,4,74,91,113,137
538,4,5,85,92,131,154
539,2,5,49,97,82,166
540,4,3,85,59,140,122
541,3,4,66,91,102,154
542,3,5,75,107,138,180
543,3,4,75,94,123,165
544,4,4,81,105,132,172
545,3,5,70,103,110,188
546,3,5,79,124,132,193
547,3,6,74,111,127,177
548,3,5,66,95,105,168
549,4,5,85,96,141,164
550,4,5,89,101,145,173
551,3,5,63,111,106,180
552,4,5,90,111,146,164
553,3,5,67,112,122,175
554,3,4,77,98,129,178
555,3,5,78,98,127,145
556,3,4,84,77,140,140
557,3,5,78,92,135,170
558,3,5,66,102,115,160
559,4,5,63,102,121,172
560,3,4,43,106,79,184
561,3,6,67,113,101,195
562,3,5,63,110,105,210
563,4,5,94,112,168,170
564,3,5,73,95,141,176
565,4,4,65,87,109,142
566,3,5,72,122,132,195
567,4,5,80,85,130,141
568,3,3,73,56,118,92
569,2,5,60,98,128,172
570,3,5,61,100,104,166
571,3,4,82,86,151,150
572,3,5,86,116,149,224
573,3,5,62,97,92,176
574,4,6,99,130,167,212
575,3,4,79,92,122,149
576,3,4,73,91,129,161
577,3,6,92,123,141,217
578,3,6,71,106,116,183
579,3,3,69,77,113,141
580,3,7,66,129,124,197
581,2,6,73,128,124,205
582,2,5,47,108,76,174
583,4,5,83,85,133,151
584,4,5,101,108,167,186
585,4,6,88,131,154,220
586,4,5,89,102,130,154
587,3,5,73,104,130,181
588,3,6,74,97,130,170
589,2,6,62,114,93,191
590,3,6,67,143,105,230
591,3,5,57,102,82,164
592,4,5,66,125,102,205
593,3,5,77,96,128,165
594,3,5,71,84,111,126
595,3,4,72,90,123,156
596,4,6,87,103,148,194
597,3,4,81,84,135,141
598,4,5,70,105,126,181
599,4,5,86,110,134,162
600,3,4,91,72,164,146
601,4,5,86,104,163,201
602,3,5,74,108,121,190
603,3,4,71,86,133,133
604,4,4,67,106,118,195
605,3,6,73,124,133,212
606,2,5,43,103,80,161
607,3,5,63,103,117,160
608,3,5,55,99,102,157
609,2,5,55,104,107,189
610,3,4,69,82,129,146
611,3,5,83,90,144,163
612,3,4,83,92,132,174
613,2,5,50,119,88,173
614,3,5,76,99,134,159
615,2,5,54,116,89,186
616,3,3,80,75,143,127
617,3,6,65,138,103,231
618,3,4,69,106,113,180
619,2,4,69,97,110,153
620,3,5,60,91,100,147
621,4,6,76,109,141,198
622,3,5,47,104,89,156
623,3,4,51,82,90,147
624,2,5,59,103,95,170
625,3,6,64,121,117,191
626,3,5,76,95,133,155
627,4,5,94,93,130,143
628,4,7,89,119,127,176
629,3,5,56,96,91,161
630,3,6,76,127,135,209
631,3,7,75,123,113,184
632,3,5,78,104,132,172
633,4,5,85,87,145,140
634,4,4,82,108,143,199
635,3,6,60,118,96,190
636,3,4,79,87,132,131
637,4,3,77,81,132,161
638,4,9,59,130,104,213
639,4,4,90,102,134,181
640,3,6,55,119,100,193
641,3,6,72,159,113,235
642,4,4,81,83,155,135
643,4,6,80,113,133,173
644,3,5,66,113,105,167
645,4,5,67,117,113,193
646,4,4,77,90,129,146
647,4,6,85,111,145,175
648,3,4,52,88,92,145
649,6,7,65,98,121,176
650,3,4,66,102,114,189
651,3,5,71,89,125,169
652,3,5,78,120,142,186
653,5,5,104,99,169,157
654,4,5,81,103,125,192
655,3,5,71,98,126,159
656,3,4,75,73,127,126
657,3,4,71,75,111,124
658,4,5,90,110,141,196
659,3,4,64,87,109,171
660,3,5,68,106,109,190
661,3,5,85,126,135,189
662,3,5,72,109,121,188
663,3,3,67,49,115,70
664,3,5,67,130,127,208
665,4,5,100,138,174,224
666,2,5,56,107,90,158
667,3,5,76,112,131,179
668,4,4,84,92,140,146
669,4,4,80,105,149,180
670,2,5,46,118,73,190
671,3,5,69,99,103,156
672,3,4,67,110,107,177
673,3,6,89,137,146,226
674,3,5,75,93,117,158
675,3,5,82,95,130,153
676,3,4,58,100,123,175
677,2,6,54,112,98,176
678,4,4,69,84,107,135
679,3,5,61,115,101,166
680,3,5,50,106,90,178
681,3,6,46,107,82,181
682,3,5,54,109,87,163
683,3,5,72,110,133,185
684,4,5,54,103,102,173
685,3,6,72,98,124,147
686,3,6,74,123,127,203
687,4,5,77,104,121,174
688,4,5,87,113,135,205
689,4,6,78,140,130,219
690,4,5,80,99,142,169
691,4,4,76,82,130,161
692,3,3,73,87,137,145
693,4,5,84,89,138,141
694,3,6,54,132,94,220
695,4,5,78,105,127,168
696,3,7,60,113,106,204
697,3,6,73,134,117,222
698,3,5,65,94,111,167
699,4,5,89,106,143,178
700,4,5,82,123,138,202
701,3,4,70,106,114,191
702,3,5,68,104,112,187
703,3,5,79,105,141,178
704,4,8,79,134,145,199
705,3,5,60,114,107,186
706,3,5,58,112,108,199
707,5,6,93,94,142,150
708,2,4,52,88,97,155
709,4,4,85,144,139,224
710,4,4,61,94,96,162
711,3,5,51,105,77,173
712,2,5,59,99,105,155
713,3,5,47,113,84,177
714,4,4,91,94,133,161
715,3,5,67,104,123,161
716,5,4,107,86,173,147
717,2,5,52,108,83,175
718,3,5,65,110,103,167
719,4,4,77,105,127,169
720,3,6,80,123,137,209
721,3,5,65,92,109,167
722,4,4,76,98,106,161
723,3,6,66,120,128,217
724,4,6,84,104,138,171
725,4,6,81,129,121,218
726,4,5,72,119,114,203
727,3,6,56,125,94,192
728,4,5,97,111,163,161
729,3,5,77,84,140,135
730,2,6,47,113,77,195
731,3,6,61,126,107,202
732,3,6,77,115,137,183
733,3,5,81,109,131,185
734,3,4,68,78,111,138
735,4,5,96,81,160,150
736,3,4,74,90,115,146
737,3,5,68,100,126,171
738,4,5,75,101,128,163
739,4,6,79,105,119,165
740,4,5,72,113,124,212
741,4,4,81,86,159,149
742,4,5,80,95,136,155
743,4,3,86,64,135,105
744,4,5,100,115,167,199
745,3,7,80,142,128,223
746,3,6,62,100,113,169
747,2,3,62,78,111,133
748,3,6,65,128,108,200
749,4,6,96,105,136,161
750,3,4,61,77,106,116
751,3,7,63,119,121,197
752,2,5,67,95,108,164
753,3,5,71,118,116,188
754,3,6,77,129,129,210
755,3,5,70,95,113,168
756,3,5,70,104,108,164
757,3,5,85,84,138,156
758,4,5,93,77,164,138
759,4,5,82,116,143,188
760,4,5,74,95,122,164
761,3,5,64,105,105,187
762,3,5,74,113,131,186
763,4,5,99,96,182,147
764,4,4,79,97,130,166
765,3,6,73,134,132,212
766,4,5,73,116,129,192
767,3,5,63,106,107,188
768,4,5,95,115,157,209
769,3,5,87,139,147,232
770,3,5,66,106,102,189
771,3,6,65,124,118,204
772,4,5,94,103,145,171
773,3,5,66,91,104,196
774,3,5,76,109,127,185
775,4,5,75,104,124,172
776,4,4,73,95,109,160
777,4,4,73,97,130,153
778,4,6,84,119,141,177
779,4,5,82,77,144,128
780,3,4,71,90,116,163
781,3,5,59,108,105,205
782,3,7,73,132,128,234
783,3,4,71,87,116,160
784,4,5,78,121,149,205
785,3,5,58,92,91,145
786,3,6,67,121,119,202
787,4,5,76,109,149,208
788,2,5,38,122,72,198
789,4,5,95,91,144,147
790,3,5,82,118,141,197
791,3,4,67,98,120,167
792,4,5,75,109,135,178
793,2,6,58,104,113,170
794,4,5,83,111,144,202
795,3,5,50,104,83,166
796,3,6,81,138,127,231
797,4,5,88,113,158,190
798,3,5,77,116,134,180
799,2,6,56,120,100,188
800,3,6,62,117,105,193
801,3,5,65,107,107,178
802,4,4,60,78,99,150
803,3,5,79,118,127,205
804,3,6,73,110,115,189
805,4,6,81,164,132,254
806,3,6,80,112,128,196
807,4,5,90,135,136,230
808,3,5,69,110,128,174
809,3,5,52,107,76,148
810,3,5,62,101,106,159
811,3,3,67,76,100,140
812,4,3,95,68,147,117
813,4,3,81,91,128,152
814,3,4,88,87,156,161
815,3,5,70,99,112,155
816,3,5,67,106,115,198
817,3,7,81,122,131,198
818,3,5,59,93,106,150
819,4,5,68,126,122,215
820,3,5,70,118,120,195
821,4,4,88,98,146,159
822,4,4,82,95,135,160
823,3,4,97,75,158,136
824,3,6,71,105,114,153
825,3,4,53,97,97,157
826,4,5,75,118,113,189
827,3,5,65,120,92,195
828,3,5,72,149,116,242
829,3,6,62,102,102,164
830,4,5,80,113,148,178
831,4,5,64,110,113,173
832,3,5,62,114,98,180
833,4,5,70,115,122,188
834,3,5,64,121,116,208
835,2,4,67,90,106,167
836,4,4,71,87,108,142
837,4,4,87,86,159,136
838,3,5,66,115,115,190
839,4,5,91,95,153,155
840,4,6,84,125,138,207
841,3,6,68,115,118,182
842,3,5,75,102,114,163
843,3,6,71,115,125,169
844,3,5,73,112,117,180
845,4,5,86,89,152,153
846,3,4,63,109,106,197
847,3,5,66,146,97,242
848,3,2,60,45,114,61
849,2,6,56,103,100,171
850,4,6,77,104,119,171
851,4,5,85,127,144,202
852,4,5,92,98,138,157
853,2,5,54,103,98,178
854,3,4,84,123,143,187
855,4,5,76,106,128,175
856,4,5,91,107,164,158
857,4,7,87,147,132,238
858,3,6,77,143,131,242
859,4,5,85,129,144,219
860,2,5,56,96,100,160
861,4,5,86,126,142,204
862,3,3,87,77,146,145
863,3,4,71,84,112,145
864,3,7,76,134,133,204
865,4,5,81,100,132,162
866,2,4,48,103,81,157
867,3,5,73,96,132,174
868,5,4,88,126,143,204
869,2,5,47,113,71,176
870,4,5,82,102,137,162
871,4,6,81,129,139,223
872,4,5,93,101,156,175
873,3,4,68,85,111,148
874,4,5,71,95,133,145
875,4,5,72,117,130,216
876,3,5,78,109,134,166
877,4,5,75,89,123,169
878,3,5,77,113,128,187
879,3,5,71,113,128,198
880,3,4,72,101,113,153
881,3,5,74,130,122,212
882,3,4,61,105,103,166
883,2,5,56,101,97,184
884,3,4,70,75,111,130
885,4,7,84,164,147,238
886,3,6,75,129,132,188
887,3,6,55,139,96,249
888,3,5,77,115,142,208
889,3,4,69,78,125,123
890,5,5,98,100,155,157
891,3,6,73,145,106,201
892,4,4,62,93,113,160
893,4,5,87,105,139,182
894,4,5,67,106,118,157
895,4,6,71,131,137,214
896,3,6,75,110,132,180
897,3,5,66,106,117,190
898,3,5,58,118,92,198
899,3,4,69,81,105,146
900,4,5,84,95,137,168
901,4,3,80,84,136,141
902,3,5,60,129,90,201
903,5,5,109,104,175,151
904,3,5,79,110,131,193
905,3,5,65,118,119,209
906,4,6,89,117,147,178
907,3,2,71,46,110,78
908,4,5,72,106,139,178
909,3,2,96,39,155,68
910,6,6,68,95,120,160
911,4,5,94,104,145,163
912,4,6,78,120,129,196
913,3,3,97,55,162,86
914,3,6,60,110,108,176
915,3,8,74,145,115,215
916,4,6,76,141,140,199
917,4,4,95,84,158,123
918,4,4,72,93,119,161
919,3,5,71,110,121,200
920,3,6,65,108,104,181
921,3,4,64,100,113,152
922,3,5,71,110,125,193
923,5,4,93,73,151,139
924,3,5,64,93,97,133
925,3,5,66,101,111,160
926,2,5,54,112,97,195
927,3,6,58,118,103,187
928,3,4,76,91,128,154
929,3,5,63,106,105,165
930,4,5,79,119,150,199
931,3,5,77,115,116,176
932,3,5,51,125,90,241
933,3,7,79,116,124,182
934,3,5,72,94,129,142
935,4,5,90,110,138,173
936,3,6,68,125,117,224
937,2,6,47,116,72,196
938,3,5,67,87,120,142
939,3,4,79,85,124,155
940,3,4,64,100,116,177
941,4,5,84,112,138,184
942,4,5,84,101,146,173
943,3,6,81,119,140,197
944,3,5,69,87,115,163
945,3,6,62,108,112,176
946,4,5,81,105,134,185
947,3,5,78,123,134,202
948,3,4,79,90,121,145
949,3,5,83,89,126,151
950,3,6,74,104,118,177
951,3,5,59,118,99,202
952,3,3,68,61,124,109
953,3,4,72,102,126,177
954,4,5,79,98,134,181
955,3,5,66,126,128,221
956,4,5,97,100,157,181
957,3,5,57,94,91,163
958,4,5,92,118,140,201
959,3,5,76,129,115,206
960,3,5,74,101,135,166
961,4,4,81,116,133,190
962,3,4,73,104,131,167
963,4,5,92,98,150,164
964,3,6,73,101,119,165
965,3,5,68,109,115,201
966,3,4,70,91,129,167
967,3,5,79,98,128,170
968,5,4,94,75,139,117
969,4,5,70,130,121,216
970,4,5,69,95,113,158
971,4,5,72,100,130,167
972,3,4,67,93,122,161
973,4,4,68,88,95,160
974,3,5,70,107,122,198
975,3,6,58,125,108,198
976,3,5,77,97,128,173
977,3,6,56,110,98,188
978,4,5,98,93,169,162
979,3,4,72,96,108,177
980,2,5,54,114,95,181
981,4,6,77,127,127,216
982,5,6,96,125,186,229
983,2,4,63,68,104,108
984,4,4,79,81,131,135
985,3,4,73,93,133,155
986,3,6,76,114,135,222
987,4,5,75,107,156,177
988,4,4,82,101,141,179
989,4,6,75,137,113,208
990,4,4,80,75,119,130
991,3,5,57,109,96,159
992,3,6,76,115,128,178
993,3,8,76,153,134,245
994,3,5,86,106,128,199
995,2,5,39,109,69,181
996,3,6,71,119,123,183
