,sentence_para,sentence_counter,word_para,word_counter,syllable_para,syllable_counter
4933,4,5,72,96,105,172
4934,4,6,67,103,113,182
4935,5,5,76,80,134,144
4936,2,5,54,91,95,150
4937,4,4,93,95,150,158
4938,5,5,80,116,125,171
4939,3,5,66,98,93,148
4940,4,5,83,108,142,167
4941,4,6,87,118,154,196
4942,4,6,76,119,113,206
4943,4,4,66,80,100,130
4944,3,5,73,114,125,196
4945,4,3,85,49,145,79
4946,5,5,95,104,147,173
4947,4,7,92,128,148,228
4948,4,5,76,70,112,102
4949,4,3,74,61,113,109
4950,4,5,71,95,119,151
4951,5,5,80,99,131,176
4952,4,4,94,74,136,130
4953,4,3,95,72,141,117
4954,4,5,91,95,142,150
4955,3,5,59,106,84,191
4956,3,5,85,96,139,163
4957,4,5,93,105,132,168
4958,4,5,71,112,123,169
4959,3,5,87,121,140,206
4960,3,4,71,111,106,163
4961,4,6,79,123,131,191
4962,5,5,73,115,113,182
4963,4,5,72,122,111,181
4964,4,6,67,135,105,230
4965,4,6,78,119,126,198
4966,4,5,53,83,84,131
4967,3,6,66,117,109,182
4968,4,7,78,138,137,232
4969,4,5,90,97,163,159
4970,5,5,79,100,131,158
4971,4,4,83,85,132,138
4972,4,5,60,104,115,183
4973,3,5,74,92,117,152
4974,3,6,67,102,117,159
4975,3,4,58,104,94,171
4976,4,5,90,111,146,176
4977,5,5,79,98,132,160
4978,4,5,85,98,145,165
4979,4,5,82,109,139,194
4980,3,5,65,105,102,159
4981,2,5,39,105,71,176
4982,5,6,94,91,166,146
4983,3,6,77,110,117,168
4984,4,6,63,105,93,165
4985,4,4,71,87,112,127
4986,3,5,72,109,114,173
4987,3,4,49,100,82,186
4988,4,6,63,97,105,166
4989,4,5,97,87,172,157
4990,3,4,58,68,100,123
4991,4,5,91,92,151,167
4992,3,7,59,122,89,192
4993,3,5,45,95,83,156
4994,4,4,70,81,124,142
4995,3,5,82,97,138,168
4996,5,5,82,88,128,150
4997,3,6,66,98,110,169
4998,3,6,66,121,105,193
4999,3,4,96,90,156,152
5000,4,3,108,62,174,98
5001,4,5,65,138,97,213
5002,4,5,81,109,126,179
5003,4,4,74,99,109,157
5004,4,6,90,121,136,207
5005,3,4,73,78,113,141
5006,4,5,78,97,128,165
5007,4,5,80,114,124,196
5008,5,5,100,87,168,166
5009,4,4,108,89,174,152
5010,4,5,74,82,121,149
5011,4,4,88,83,131,143
5012,3,5,82,105,116,183
5013,4,5,84,104,140,160
5014,4,4,86,75,144,123
5015,3,3,72,53,123,95
5016,4,5,72,91,120,159
5017,4,5,65,93,103,166
5018,4,5,80,103,124,156
5019,4,4,88,90,143,150
5020,2,4,53,105,83,171
5021,2,5,56,111,83,178
5022,5,6,77,127,127,197
5023,4,6,80,127,137,199
5024,4,3,86,45,144,81
5025,3,4,88,88,134,146
5026,3,5,77,109,137,180
5027,3,4,68,85,117,137
5028,4,5,78,94,122,156
5029,4,6,74,119,113,213
5030,3,6,61,113,96,186
5031,3,5,73,99,120,159
5032,5,3,106,74,161,126
5033,4,6,84,111,140,185
5034,4,6,88,136,142,234
5035,5,6,93,127,159,192
5036,4,5,62,78,93,128
5037,4,5,84,113,134,187
5038,3,6,76,129,124,216
5039,4,4,78,91,132,160
5040,3,4,79,90,128,163
5041,3,5,73,101,111,162
5042,3,6,46,131,73,187
5043,4,5,83,104,145,161
5044,3,6,81,122,137,193
5045,4,5,84,97,136,170
5046,5,4,82,86,138,154
5047,4,4,84,84,120,127
5048,4,6,71,112,115,182
5049,3,6,67,138,106,220
5050,4,6,75,133,115,210
5051,4,5,88,95,147,163
5052,4,5,85,96,145,155
5053,4,5,60,109,109,168
5054,4,7,82,156,135,253
5055,3,6,80,134,127,217
5056,4,6,76,121,121,194
5057,4,6,74,129,117,217
5058,5,2,91,65,151,115
5059,4,5,83,98,144,189
5060,4,6,75,109,114,207
5061,3,5,79,100,122,183
5062,3,5,67,106,108,175
5063,4,5,83,96,134,166
5064,4,5,92,97,156,150
5065,4,7,94,113,154,187
5066,5,6,89,122,158,191
5067,3,6,76,101,138,177
5068,4,4,95,92,153,162
5069,3,5,70,105,128,175
5070,5,5,81,96,140,160
5071,4,5,73,88,116,155
5072,3,7,61,127,97,214
5073,4,3,65,54,100,83
5074,4,5,65,109,112,173
5075,3,6,60,102,113,199
5076,3,6,72,108,106,173
5077,3,6,69,135,97,196
5078,5,2,79,36,136,61
5079,4,5,80,97,132,149
5080,5,5,80,91,136,152
5081,4,5,62,75,102,123
5082,2,6,45,133,73,215
5083,3,7,57,137,92,208
5084,4,3,82,70,131,128
5085,4,5,93,98,128,159
5086,3,4,65,100,114,171
5087,4,3,92,70,150,116
5088,5,6,83,103,134,186
5089,3,5,81,113,141,173
5090,3,3,71,57,115,108
5091,3,5,59,114,88,204
5092,3,6,73,99,119,159
5093,3,6,94,124,146,182
5094,5,5,72,99,120,156
5095,3,5,66,103,101,172
5096,3,6,59,120,110,182
5097,3,3,79,75,112,122
5098,4,6,72,109,116,166
5099,4,6,70,145,113,226
5100,4,5,66,124,120,198
5101,5,4,97,82,150,127
5102,4,6,90,109,136,164
5103,3,2,73,48,117,81
5104,3,5,62,114,89,171
5105,4,6,67,109,105,187
5106,4,6,71,128,117,222
5107,2,7,41,125,71,194
5108,3,5,46,107,74,170
5109,5,6,77,119,131,194
5110,4,4,75,93,116,151
5111,4,5,93,107,149,172
5112,3,5,65,99,99,152
5113,3,6,64,128,115,198
5114,4,5,96,91,139,144
5115,5,5,94,87,138,143
5116,5,5,95,116,153,182
5117,4,7,79,145,120,223
5118,3,5,68,93,117,144
5119,4,5,96,87,160,143
5120,3,5,57,100,87,153
5121,3,5,51,92,86,152
5122,4,5,79,111,130,182
5123,3,7,60,132,94,208
5124,4,5,93,103,164,169
5125,5,6,88,109,135,169
5126,4,7,91,135,144,199
5127,4,5,68,125,117,199
5128,5,7,80,136,131,232
5129,4,5,76,103,120,180
5130,4,6,79,123,128,194
5131,4,4,72,88,126,157
5132,3,5,45,101,69,163
5133,4,6,69,132,122,227
5134,4,5,88,80,145,133
5135,4,6,84,118,123,189
5136,3,5,63,106,98,170
5137,4,3,77,75,119,129
5138,3,6,53,138,78,235
5139,4,5,88,106,140,174
5140,4,4,89,81,133,129
5141,3,5,68,93,113,152
5142,3,5,67,93,103,162
5143,4,5,92,104,127,171
5144,4,4,75,111,134,188
5145,4,7,76,143,117,233
5146,5,4,90,90,148,157
5147,4,5,74,90,117,161
5148,5,5,87,109,141,183
5149,4,5,62,96,94,173
5150,4,6,62,125,102,205
5151,5,5,78,90,128,147
5152,3,5,73,92,134,150
5153,4,4,88,87,141,151
5154,4,3,82,77,132,130
5155,3,5,72,93,126,148
5156,4,5,76,94,137,153
5157,4,5,63,109,112,183
5158,4,4,71,98,131,173
5159,4,6,69,95,128,162
5160,4,6,63,122,112,203
5161,3,5,75,145,131,247
5162,4,2,71,39,117,75
5163,4,5,83,98,138,171
5164,4,5,69,104,120,164
5165,4,5,85,86,154,139
5166,4,5,78,91,131,164
5167,5,3,83,59,143,86
5168,3,5,74,93,113,154
5169,4,5,76,95,132,149
5170,4,6,67,138,108,214
5171,4,5,67,83,115,145
5172,3,4,74,90,126,151
5173,4,4,105,95,167,163
5174,3,5,78,93,117,146
5175,3,5,69,116,105,192
5176,5,5,111,101,162,184
5177,4,5,78,91,126,153
5178,3,5,72,108,101,171
5179,4,5,75,108,119,183
5180,4,5,90,103,167,173
5181,5,5,82,109,126,182
5182,4,5,94,119,142,183
5183,3,4,66,103,95,174
5184,4,6,96,127,150,185
5185,4,7,82,111,138,166
